date,open,high,low,close,volume,change
2018-10-31,333.93,335.1,331.93,332.15,3635928.0,-0.005330458479322102
2018-11-01,333.42,339.12,332.88,338.72,2103309.0,0.015895867074560647
2018-11-02,340.62,341.33,335.98,339.08,1248438.0,-0.004521167283189538
2018-11-05,339.45,341.86,338.28,340.76,1715733.0,0.0038591839740757176
2018-11-06,340.12,342.94,339.96,342.72,1219283.0,0.00764436081383048
2018-11-07,344.56,348.1,342.88,347.85,906991.0,0.009548409565823137
2018-11-08,346.84,348.3,345.06,346.51,823854.0,-0.0009514473532464078
2018-11-09,344.28,345.19,340.61,342.86,928303.0,-0.0041245497850585545
2018-11-12,342.55,343.02,336.81,337.47,1062826.0,-0.014829951831849318
2018-11-13,338.1,341.7,336.59,337.48,901845.0,-0.0018337769890565054
2018-11-14,340.41,341.33,333.15,335.44,1254784.0,-0.014600041126876493
2018-11-15,333.37,340.03,332.36,339.56,1084228.0,0.018567957524672277
2018-11-16,338.02,340.7,337.26,339.77,895691.0,0.0051772084492041895
2018-11-19,339.26,340.41,333.93,335.11,1021025.0,-0.012232506042563158
2018-11-20,331.24,333.46,328.07,329.37,1631949.0,-0.005645453447651263
2018-11-21,330.68,335.95,330.64,333.0,1173605.0,0.007015846135236462
2018-11-23,330.82,335.1,330.48,332.48,377910.0,0.005017834471918339
2018-11-26,335.55,337.61,334.63,336.77,1015495.0,0.0036358217851288044
2018-11-27,335.55,336.25,333.0,334.03,914903.0,-0.004529876322455785
2018-11-28,335.12,340.68,332.2,340.67,1077148.0,0.016561231797565086
2018-11-29,339.52,342.53,337.37,340.38,1204537.0,0.002532987747408146
2018-11-30,340.01,343.18,339.34,342.74,1168989.0,0.00802917561248204
2018-12-03,346.78,347.25,341.91,345.26,1161703.0,-0.004383182421131501
2018-12-04,344.97,345.34,332.74,333.05,1830565.0,-0.0345537293097951
2018-12-06,328.02,331.62,323.07,331.49,1719133.0,0.010578623254679677
2018-12-07,331.4,333.67,323.07,324.54,1588442.0,-0.020700060350030046
2018-12-10,324.63,325.5,318.26,322.62,1442878.0,-0.006191664356344118
2018-12-11,326.65,328.15,320.36,321.63,1795091.0,-0.015368131027093165
2018-12-12,325.51,328.26,324.02,324.06,1182058.0,-0.0044545482473656375
2018-12-13,325.24,326.07,320.58,320.66,1597270.0,-0.014081908744311844
2018-12-14,318.37,320.93,315.32,316.27,2623551.0,-0.006596098878663262
2018-12-17,314.55,317.0,307.9,309.4,2815496.0,-0.01637259577173751
2018-12-18,311.54,313.8,308.26,309.35,1585461.0,-0.007029594915580656
2018-12-19,309.63,313.29,302.46,304.12,2090168.0,-0.017795433259051096
2018-12-20,302.65,305.17,296.79,300.2,2316397.0,-0.008095159425078437
2018-12-21,300.14,302.83,292.15,292.88,1772994.0,-0.02418871193443057
2018-12-24,291.19,291.96,284.89,284.96,1561499.0,-0.021394965486452207
2018-12-26,286.23,298.09,284.45,298.03,1424102.0,0.04122558781399557
2018-12-27,294.24,299.79,289.62,299.78,3995973.0,0.018828167482327227
2018-12-28,300.39,303.36,297.62,299.36,2828872.0,-0.0034288757948000024
2018-12-31,301.12,302.67,298.02,302.67,3308241.0,0.005147449521785373
2019-01-02,298.67,303.05,296.57,301.59,1777839.0,0.009776676599591385
2019-01-03,300.32,301.76,295.38,296.63,2011925.0,-0.012286893979754921
2019-01-04,300.56,307.53,300.38,306.35,1383085.0,0.019264040457812152
2019-01-07,306.72,312.14,305.32,309.76,1454277.0,0.00991131977047458
2019-01-08,312.75,315.05,310.48,314.95,1056631.0,0.007034372501998365
2019-01-09,316.53,319.0,315.42,318.06,1032094.0,0.004833665055445076
2019-01-10,316.29,320.62,315.57,320.62,1127439.0,0.013689968067279977
2019-01-11,319.14,321.26,318.14,320.76,977770.0,0.00507614213197971
2019-01-14,318.56,320.59,317.86,318.98,2814727.0,0.0013184329482672523
2019-01-15,319.61,321.19,318.58,320.95,925219.0,0.0041926097431243545
2019-01-16,321.41,324.12,321.35,323.16,833643.0,0.0054447590305217635
2019-01-17,322.05,327.58,322.05,326.4,1270278.0,0.013507219375873205
2019-01-18,328.01,331.42,327.38,330.79,1080705.0,0.008475351361239078
2019-01-22,328.94,329.347,323.94,325.68,1248417.0,-0.009910621997932726
2019-01-23,327.06,328.11,322.41,325.16,879343.0,-0.005809331621109207
2019-01-24,324.94,328.17,324.76,327.3,773419.0,0.0072628793007940345
2019-01-25,330.14,331.65,329.7,330.99,896681.0,0.0025746652935119125
2019-01-28,328.33,330.9,327.75,330.47,1101533.0,0.0065178326683520945
2019-01-29,330.77,331.63,329.71,330.49,727970.0,-0.0008465096592797797
2019-01-30,331.69,334.08,328.98,332.57,1359577.0,0.0026530796828363695
2019-01-31,332.32,334.52,331.3,333.79,1784397.0,0.004423447279730462
2019-02-01,334.86,335.71,333.3,334.85,1530050.0,-2.986322642295558e-05
2019-02-04,335.19,338.21,333.91,338.16,670970.0,0.008860646200662393
2019-02-05,338.5,339.91,337.69,339.53,957574.0,0.0030428360413588557
2019-02-06,339.04,340.04,338.05,339.18,772819.0,0.00041293062765451375
2019-02-07,338.22,338.66,334.82,337.66,1257422.0,-0.001655727041570582
2019-02-08,335.95,337.98,334.54,337.41,875351.0,0.004345884804286461
2019-02-11,338.21,339.69,337.41,339.5,1434990.0,0.0038141982791757207
2019-02-12,341.35,343.67,341.18,342.95,1031089.0,0.004687271129339287
2019-02-13,343.99,345.5,342.89,344.83,1441228.0,0.00244193145149561
2019-02-14,343.0,346.13,342.54,344.62,1055661.0,0.004723032069970858
2019-02-15,346.47,348.89,345.87,348.89,847076.0,0.006984731722804165
2019-02-19,347.47,350.1,347.09,349.17,1153023.0,0.004892508705787517
2019-02-20,349.31,351.37,348.9,350.79,1170409.0,0.0042369242220377835
2019-02-21,350.23,350.39,348.21,349.61,1903069.0,-0.0017702652542614982
2019-02-22,350.45,352.6,350.07,352.26,1309357.0,0.005164788129547731
2019-02-25,354.02,354.7,351.72,352.23,938767.0,-0.005056211513473713
2019-02-26,351.61,352.32,349.07,349.26,1683837.0,-0.00668354142373659
2019-02-27,348.23,350.12,347.65,349.64,806613.0,0.004049048042960021
2019-02-28,349.06,349.88,347.68,348.22,900730.0,-0.002406463072251117
2019-03-01,350.48,352.06,348.38,350.85,1258101.0,0.0010556950467929826
2019-03-04,351.84,352.14,346.16,349.22,1166739.0,-0.007446566621191302
2019-03-05,349.38,349.46,347.52,347.75,1169070.0,-0.004665407292918872
2019-03-06,347.63,347.75,342.92,343.07,966071.0,-0.013117394931392579
2019-03-07,342.58,342.92,339.26,340.19,993541.0,-0.006976472648724346
2019-03-08,337.8,339.44,337.49,339.22,1307152.0,0.004203670811130894
2019-03-11,339.91,343.83,339.83,343.71,1368131.0,0.011179429849077563
2019-03-12,344.08,345.14,343.18,344.2,711647.0,0.0003487561032318198
2019-03-13,345.55,347.16,345.26,345.74,704902.0,0.0005498480682969113
2019-03-14,345.52,345.98,344.07,345.32,942532.0,-0.0005788376939105946
2019-03-15,344.61,347.19,344.0,344.75,1382638.0,0.00040625634775539406
2019-03-18,345.25,348.13,345.16,347.37,997533.0,0.006140477914554684
2019-03-19,348.97,348.97,344.74,345.6,716905.0,-0.009656990572255508
2019-03-20,345.17,346.37,341.02,342.71,1419546.0,-0.0071269229654953685
2019-03-21,341.47,348.35,341.47,347.42,1239175.0,0.017424663952909446
2019-03-22,345.35,345.78,337.34,337.34,1928451.0,-0.02319386130013044
2019-03-25,337.29,339.97,335.14,338.14,1333588.0,0.0025200865723856796
2019-03-26,340.32,343.01,339.07,341.48,749802.0,0.003408556652562368
2019-03-27,341.46,342.81,338.23,341.24,1031930.0,-0.0006442921572071998
2019-03-28,342.08,344.33,340.67,344.1,898125.0,0.005905051449953341
2019-03-29,346.26,346.9,344.25,345.4,966415.0,-0.002483682781724755
2019-04-01,347.55,350.12,347.22,350.0,1277849.0,0.007049345417925445
2019-04-02,349.97,349.97,347.2,348.59,790800.0,-0.003943195131011379
2019-04-03,350.88,352.16,349.45,350.45,1255320.0,-0.0012254901960784509
2019-04-04,350.88,352.56,350.24,352.26,1039286.0,0.003932968536251697
2019-04-05,352.89,355.1,352.61,354.99,1063812.0,0.005950862875116957
2019-04-08,354.0,355.09,352.94,354.97,607368.0,0.0027401129943503597
2019-04-09,353.59,353.66,350.33,351.05,1024565.0,-0.007183461070731536
2019-04-10,351.65,354.61,351.57,354.25,1078227.0,0.0073937153419593995
2019-04-11,354.81,355.69,353.88,355.3,525330.0,0.0013810208280488404
2019-04-12,357.47,358.58,356.07,357.95,899718.0,0.001342770022659136
2019-04-15,358.3,358.75,356.62,357.44,565804.0,-0.0024002232765839063
2019-04-16,358.48,358.94,356.75,357.71,690589.0,-0.002147958045079331
2019-04-17,358.9,359.09,354.13,355.05,623520.0,-0.010727222067428158
2019-04-18,355.3,356.31,353.65,355.74,666072.0,0.0012383900928792505
2019-04-22,354.82,355.51,353.34,354.6,747494.0,-0.000620032692632801
2019-04-23,355.06,359.67,355.06,358.95,1433698.0,0.010955894778347283
2019-04-24,359.3,361.52,359.3,360.21,961020.0,0.002532702477038598
2019-04-25,358.6,358.84,354.1,356.0,960783.0,-0.007250418293363142
2019-04-26,356.16,359.85,355.74,359.38,1056459.0,0.00904088050314457
2019-04-29,360.08,360.76,359.14,359.76,864502.0,-0.0008886914019106677
2019-04-30,359.52,359.66,355.83,359.1,1771133.0,-0.0011682242990653068
2019-05-01,359.82,359.82,354.94,354.95,1361340.0,-0.013534545050302943
2019-05-02,354.36,356.84,352.36,355.83,2216661.0,0.004148323738570861
2019-05-03,357.25,361.18,357.25,361.02,935231.0,0.010552834149755023
2019-05-06,355.33,361.15,355.17,360.3,954840.0,0.013986998001857506
2019-05-07,356.82,358.02,350.92,353.21,1124300.0,-0.010117145899893543
2019-05-08,352.78,354.9,351.73,352.12,1235580.0,-0.0018708543568228592
2019-05-09,349.3,352.0,346.43,351.17,1397876.0,0.005353564271399955
2019-05-10,349.88,353.32,345.79,352.44,923891.0,0.007316794329484401
2019-05-13,345.85,346.62,340.78,342.09,1490659.0,-0.0108717652161343
2019-05-14,342.96,347.03,342.26,345.43,828395.0,0.007202006064847293
2019-05-15,343.49,347.12,342.31,346.51,882844.0,0.0087921045736411
2019-05-16,347.06,350.62,347.06,348.68,672994.0,0.004667780787183785
2019-05-17,345.6,349.04,344.24,344.41,857587.0,-0.0034432870370370303
2019-05-20,342.12,344.01,341.12,341.99,1188563.0,-0.0003799836314743232
2019-05-21,344.09,347.03,343.95,346.49,976574.0,0.0069749193524950865
2019-05-22,345.06,345.67,342.88,343.57,790529.0,-0.004318089607604501
2019-05-23,340.69,340.69,336.29,338.06,791476.0,-0.007719627814141875
2019-05-24,339.76,340.84,338.35,339.95,456144.0,0.0005592182717212082
2019-05-28,340.19,341.05,336.12,336.12,754083.0,-0.011963902525059505
2019-05-29,334.48,335.16,331.97,334.25,1169788.0,-0.0006876345371921136
2019-05-30,335.0,337.03,331.94,333.51,1017128.0,-0.004447761194029878
2019-05-31,330.12,331.81,328.72,330.13,2019732.0,3.02920150248119e-05
2019-06-03,330.54,333.95,330.46,332.57,2104670.0,0.006141465480728422
2019-06-04,335.65,341.1,335.42,341.02,907015.0,0.015998808282437077
2019-06-05,342.53,342.77,338.22,342.06,1028118.0,-0.0013721425860507707
2019-06-06,342.33,344.16,340.37,343.51,948229.0,0.00344696637747205
2019-06-07,344.82,346.79,344.12,345.16,680547.0,0.000986021692477327
2019-06-10,346.98,349.37,346.49,347.16,612335.0,0.000518761888293293
2019-06-11,349.83,350.95,346.36,347.41,552275.0,-0.006917645713632219
2019-06-12,347.44,347.68,345.85,347.05,552726.0,-0.001122495970527246
2019-06-13,348.85,349.89,347.35,349.27,744501.0,0.0012039558549518676
2019-06-14,348.83,348.91,346.57,346.88,709575.0,-0.005590115529054235
2019-06-17,347.35,348.6,346.58,346.96,570207.0,-0.0011227868144524059
2019-06-18,348.91,353.33,348.66,350.93,1120773.0,0.005789458599638823
2019-06-19,350.93,352.41,350.37,351.97,913893.0,0.0029635539851252967
2019-06-20,355.41,355.75,351.8121,354.31,1033513.0,-0.003095017022593688
2019-06-21,352.55,353.2,349.79,350.71,681620.0,-0.005219117855623406
2019-06-24,351.55,351.75,347.86,347.91,770693.0,-0.010354145925188412
2019-06-25,348.5,348.82,345.75,346.02,647395.0,-0.007116212338594026
2019-06-26,347.17,348.03,345.41,345.41,859465.0,-0.005069562462194288
2019-06-27,346.45,350.11,346.45,349.92,936022.0,0.01001587530668214
2019-06-28,350.61,354.72,350.47,354.59,1058936.0,0.011351644277116914
2019-07-01,358.24,359.25,353.71,355.28,1163918.0,-0.008262617239839315
2019-07-02,355.43,355.53,353.0,354.36,950831.0,-0.00301043806094025
2019-07-03,355.02,357.68,354.79,357.57,680604.0,0.007182693932736216
2019-07-05,355.61,357.92,353.71,357.89,833810.0,0.006411518236269994
2019-07-08,356.32,357.02,353.95,354.5,462442.0,-0.005107768298158939
2019-07-09,352.84,354.7,352.53,354.57,608591.0,0.004903072214034742
