Date,Neg_Count
2018-06-28,134
2018-06-29,64
2018-06-30,31
2018-07-01,45
2018-07-02,76
2018-07-03,53
2018-07-04,38
2018-07-05,61
2018-07-06,41
2018-07-07,20
2018-07-08,15
2018-07-09,79
2018-07-10,117
2018-07-11,84
2018-07-12,67
2018-07-13,104
2018-07-14,17
2018-07-15,48
2018-07-16,74
2018-07-17,95
2018-07-18,85
2018-07-19,84
2018-07-20,102
2018-07-21,61
2018-07-22,81
2018-07-23,86
2018-07-24,87
2018-07-25,96
2018-07-26,182
2018-07-27,127
2018-07-28,45
2018-07-29,35
2018-07-30,122
2018-07-31,75
2018-08-01,68
2018-08-02,127
2018-08-03,81
2018-08-04,58
2018-08-05,30
2018-08-06,53
2018-08-07,163
2018-08-08,194
2018-08-09,69
2018-08-10,96
2018-08-11,24
2018-08-13,81
2018-08-14,95
2018-08-15,140
2018-08-16,106
2018-08-17,115
2018-08-18,51
2018-08-19,25
2018-08-20,101
2018-08-21,64
2018-08-22,76
2018-08-23,62
2018-08-24,71
2018-08-25,37
2018-08-26,79
2018-08-27,66
2018-08-28,58
2018-08-29,64
2018-08-30,127
2018-08-31,71
2018-09-01,29
2018-09-02,30
2018-09-03,30
2018-09-04,65
2018-09-05,84
2018-09-06,137
2018-09-07,82
2018-09-08,15
2018-09-09,27
2018-09-10,107
2018-09-11,54
2018-09-12,189
2018-09-13,163
2018-09-14,75
2018-09-15,81
2018-09-16,17
2018-09-17,108
2018-09-18,112
2018-09-19,96
2018-09-20,126
2018-09-21,190
2018-09-22,56
2018-09-23,33
2018-09-24,119
2018-09-25,102
2018-09-26,118
2018-09-27,178
2018-09-28,170
2018-09-29,88
2018-09-30,45
2018-10-01,95
2018-10-02,87
2018-10-03,125
2018-10-04,111
2018-10-05,202
2018-10-06,22
2018-10-07,34
2018-10-08,79
2018-10-09,66
2018-10-10,167
2018-10-11,332
2018-10-12,63
2018-10-13,53
2018-10-14,108
2018-10-15,137
2018-10-16,115
2018-10-17,147
2018-10-18,98
2018-10-19,88
2018-10-20,101
2018-10-21,50
2018-10-22,108
2018-10-23,122
2018-10-24,168
2018-10-25,125
2018-10-26,105
2018-10-27,91
2018-10-28,25
2018-10-29,100
2018-10-30,121
2018-10-31,91
2018-11-01,38
2018-11-02,78
2018-11-03,67
2018-11-04,34
2018-11-05,51
2018-11-06,38
2018-11-07,40
2018-11-08,85
2018-11-09,158
2018-11-10,52
2018-11-11,61
2018-11-12,72
2018-11-13,107
2018-11-14,94
2018-11-15,75
2018-11-16,68
2018-11-17,61
2018-11-18,46
2018-11-19,59
2018-11-20,61
2018-11-21,72
2018-11-22,23
2018-11-23,26
2018-11-24,29
2018-11-25,40
2018-11-26,74
2018-11-27,133
2018-11-28,58
2018-11-29,54
2018-11-30,82
2018-12-01,153
2018-12-02,40
2018-12-03,63
2018-12-04,85
2018-12-05,63
2018-12-06,150
2018-12-07,80
2018-12-08,36
2018-12-09,12
2018-12-10,65
2018-12-11,85
2018-12-12,77
2018-12-13,107
2018-12-14,86
2018-12-15,31
2018-12-16,5
2018-12-17,103
2018-12-18,69
2018-12-19,98
2018-12-20,96
2018-12-21,88
2018-12-22,75
2018-12-23,41
2018-12-24,125
2018-12-25,23
2018-12-26,65
2018-12-27,93
2018-12-28,59
2018-12-29,45
2018-12-30,41
2018-12-31,58
2019-01-01,17
2019-01-02,298
2019-01-03,157
2019-01-04,86
2019-01-05,23
2019-01-06,21
2019-01-07,47
2019-01-08,74
2019-01-09,98
2019-01-10,79
2019-01-11,54
2019-01-12,25
2019-01-13,43
2019-01-14,80
2019-01-15,76
2019-01-16,99
2019-01-17,98
2019-01-18,213
2019-01-19,121
2019-01-20,51
2019-01-21,41
2019-01-22,83
2019-01-23,99
2019-01-24,117
2019-01-25,106
2019-01-26,23
2019-01-27,108
2019-01-28,95
2019-01-29,111
2019-01-30,85
2019-01-31,80
2019-02-01,78
2019-02-02,67
2019-02-03,35
2019-02-04,75
2019-02-05,93
2019-02-06,118
2019-02-07,114
2019-02-08,131
2019-02-09,78
2019-02-10,42
2019-02-11,112
2019-02-12,86
2019-02-13,89
2019-02-14,88
2019-02-15,126
2019-02-16,17
2019-02-17,23
2019-02-18,50
2019-02-19,150
2019-02-20,125
2019-02-21,68
2019-02-22,94
2019-02-23,109
2019-02-24,18
2019-02-25,72
2019-02-26,70
2019-02-27,92
2019-02-28,66
2019-03-01,42
2019-03-02,68
2019-03-03,14
2019-03-04,76
2019-03-05,42
2019-03-06,58
2019-03-07,74
2019-03-08,78
2019-03-09,111
2019-03-10,94
2019-03-11,74
2019-03-12,102
2019-03-13,106
2019-03-14,70
2019-03-15,91
2019-03-16,92
2019-03-17,35
2019-03-18,104
2019-03-19,108
2019-03-20,37
2019-03-21,101
2019-03-22,97
2019-03-23,176
2019-03-24,56
2019-03-25,48
2019-03-26,79
2019-03-27,54
2019-03-28,47
2019-03-29,61
2019-03-30,124
2019-03-31,24
2019-04-01,68
2019-04-02,43
2019-04-03,75
2019-04-04,57
2019-04-05,25
2019-04-06,90
2019-04-07,66
2019-04-08,86
2019-04-09,51
2019-04-10,80
2019-04-11,70
2019-04-12,76
2019-04-13,134
2019-04-14,118
2019-04-15,195
2019-04-16,99
2019-04-17,117
2019-04-18,76
2019-04-19,47
2019-04-20,102
2019-04-21,14
2019-04-22,131
2019-04-23,93
2019-04-24,75
2019-04-25,119
2019-04-26,63
2019-04-27,48
2019-04-28,93
2019-04-29,158
2019-04-30,61
2019-05-01,76
2019-05-02,89
2019-05-03,76
2019-05-04,67
2019-05-05,61
2019-05-06,129
2019-05-07,107
2019-05-08,81
2019-05-09,93
2019-05-10,71
2019-05-11,96
2019-05-12,65
2019-05-13,64
2019-05-14,92
2019-05-15,156
2019-05-16,66
2019-05-17,92
2019-05-18,56
2019-05-19,21
2019-05-20,52
2019-05-21,110
2019-05-22,113
2019-05-23,121
2019-05-24,132
2019-05-25,113
2019-05-26,51
2019-05-27,43
2019-05-28,49
2019-05-29,154
2019-05-30,80
2019-05-31,154
2019-06-01,249
2019-06-02,105
2019-06-03,119
2019-06-04,92
2019-06-05,86
2019-06-06,106
2019-06-07,54
2019-06-08,139
2019-06-09,56
2019-06-10,82
2019-06-11,79
2019-06-12,98
2019-06-13,38
2019-06-14,78
2019-06-15,103
2019-06-16,34
2019-06-17,62
2019-06-18,62
2019-06-19,82
2019-06-20,146
2019-06-21,115
2019-06-22,92
2019-06-23,31
2019-06-24,68
2019-06-25,58
2019-06-26,73
2019-06-27,72
2019-06-28,82
2019-06-29,117
2019-06-30,132
2019-07-01,152
2019-07-02,55
2019-07-03,78
2019-07-04,33
2019-07-05,64
2019-07-06,84
2019-07-07,18
2019-07-08,119
2019-07-09,81
2019-07-10,100
2019-07-11,71
2019-07-12,83
2019-07-13,44
2019-07-14,59
2019-07-15,50
2019-07-16,101
2019-07-17,134
2019-07-18,103
2019-07-19,89
2019-07-20,168
2019-07-21,61
2019-07-22,79
2019-07-23,100
2019-07-24,118
2019-07-25,140
2019-07-26,103
2019-07-27,117
2019-07-28,56
2019-07-29,67
2019-07-30,80
2019-07-31,131
2019-08-01,125
2019-08-02,117
2019-08-03,244
2019-08-04,49
2019-08-05,114
2019-08-06,175
2019-08-07,156
2019-08-08,158
2019-08-09,155
2019-08-10,167
2019-08-11,105
2019-08-12,110
2019-08-13,156
2019-08-14,433
2019-08-15,265
2019-08-16,256
2019-08-17,210
2019-08-18,95
2019-08-19,127
2019-08-20,150
2019-08-21,168
2019-08-22,137
2019-08-23,229
2019-08-24,236
2019-08-25,113
2019-08-26,138
2019-08-27,154
2019-08-28,146
2019-08-29,192
2019-08-30,152
2019-08-31,161
2019-09-01,122
2019-09-02,64
2019-09-03,98
2019-09-04,87
2019-09-05,118
2019-09-06,116
2019-09-07,126
2019-09-08,63
2019-09-09,157
2019-09-10,163
2019-09-11,158
2019-09-12,188
2019-09-13,186
2019-09-14,128
2019-09-15,36
