Date,Count
2018-11-16,46
2018-11-17,27
2018-11-18,28
2018-11-19,24
2018-11-20,37
2018-11-21,37
2018-11-22,19
2018-11-23,30
2018-11-24,35
2018-11-25,19
2018-11-26,54
2018-11-27,60
2018-11-28,44
2018-11-29,27
2018-11-30,55
2018-12-01,85
2018-12-02,28
2018-12-03,36
2018-12-04,49
2018-12-05,36
2018-12-06,82
2018-12-07,63
2018-12-08,27
2018-12-09,22
2018-12-10,37
2018-12-11,58
2018-12-12,30
2018-12-13,55
2018-12-14,42
2018-12-15,28
2018-12-16,9
2018-12-17,74
2018-12-18,40
2018-12-19,51
2018-12-20,60
2018-12-21,38
2018-12-22,48
2018-12-23,32
2018-12-24,66
2018-12-25,20
2018-12-26,48
2018-12-27,41
2018-12-28,53
2018-12-29,29
2018-12-30,14
2018-12-31,38
2019-01-01,12
2019-01-02,189
2019-01-03,81
2019-01-04,46
2019-01-05,18
2019-01-06,36
2019-01-07,18
2019-01-08,64
2019-01-09,51
2019-01-10,50
2019-01-11,38
2019-01-12,37
2019-01-13,35
2019-01-14,48
2019-01-15,60
2019-01-16,57
2019-01-17,39
2019-01-18,110
2019-01-19,108
2019-01-20,29
2019-01-21,21
2019-01-22,47
2019-01-23,48
2019-01-24,74
2019-01-25,43
2019-01-26,18
2019-01-27,124
2019-01-28,52
2019-01-29,46
2019-01-30,58
2019-01-31,70
2019-02-01,70
2019-02-02,24
2019-02-03,21
2019-02-04,51
2019-02-05,73
2019-02-06,94
2019-02-07,54
2019-02-08,64
2019-02-09,83
2019-02-10,36
2019-02-11,85
2019-02-12,39
2019-02-13,56
2019-02-14,64
2019-02-15,90
2019-02-16,16
2019-02-17,16
2019-02-18,38
2019-02-19,58
2019-02-20,64
2019-02-21,29
2019-02-22,66
2019-02-23,114
2019-02-24,7
2019-02-25,43
2019-02-26,24
2019-02-27,41
2019-02-28,31
2019-03-01,34
2019-03-02,78
2019-03-03,6
2019-03-04,87
2019-03-05,43
2019-03-06,55
2019-03-07,45
2019-03-08,45
2019-03-09,88
2019-03-10,49
2019-03-11,20
2019-03-12,53
2019-03-13,67
2019-03-14,46
2019-03-15,38
2019-03-16,107
2019-03-17,32
2019-03-18,77
2019-03-19,64
2019-03-20,21
2019-03-21,78
2019-03-22,64
2019-03-23,162
2019-03-24,53
2019-03-25,55
2019-03-26,35
2019-03-27,57
2019-03-28,28
2019-03-29,43
2019-03-30,125
2019-03-31,30
2019-04-01,70
2019-04-02,38
2019-04-03,62
2019-04-04,47
2019-04-05,26
2019-04-06,88
2019-04-07,48
2019-04-08,77
2019-04-09,23
2019-04-10,48
2019-04-11,97
2019-04-12,51
2019-04-13,104
2019-04-14,42
2019-04-15,149
2019-04-16,101
2019-04-17,101
2019-04-18,58
2019-04-19,28
2019-04-20,114
2019-04-21,25
2019-04-22,79
2019-04-23,69
2019-04-24,69
2019-04-25,66
2019-04-26,53
2019-04-27,41
2019-04-28,65
2019-04-29,104
2019-04-30,79
2019-05-01,36
2019-05-02,40
2019-05-03,57
2019-05-04,47
2019-05-05,32
2019-05-06,97
2019-05-07,85
2019-05-08,57
2019-05-09,70
2019-05-10,62
2019-05-11,55
2019-05-12,30
2019-05-13,38
2019-05-14,75
2019-05-15,100
2019-05-16,91
2019-05-17,80
2019-05-18,15
2019-05-19,42
2019-05-20,28
2019-05-21,79
2019-05-22,79
2019-05-23,87
2019-05-24,96
2019-05-25,107
2019-05-26,42
2019-05-27,49
2019-05-28,40
2019-05-29,83
2019-05-30,62
2019-05-31,94
2019-06-01,188
