day,favorites
2017-09-04,102850
2017-09-05,359163
2017-09-06,436346
2017-09-07,422318
2017-09-08,500190
2017-09-09,204583
2017-09-10,145844
2017-09-11,184152
2017-09-12,301423
2017-09-13,222316
2017-09-14,818266
2017-09-15,957120
2017-09-16,155621
2017-09-17,313570
2017-09-18,235174
2017-09-19,527824
2017-09-20,879232
2017-09-21,394656
2017-09-22,559620
2017-09-23,1175917
2017-09-24,1101299
2017-09-25,926179
2017-09-26,913864
2017-09-27,727516
2017-09-28,368667
2017-09-29,490563
2017-09-30,1165055
2017-10-01,597896
2017-10-02,331183
2017-10-03,328142
2017-10-04,651491
2017-10-05,509535
2017-10-06,77247
2017-10-07,701304
2017-10-08,564708
2017-10-09,240499
2017-10-10,651858
2017-10-11,845697
2017-10-12,502714
2017-10-13,679569
2017-10-14,499540
2017-10-15,115599
2017-10-16,502283
2017-10-17,387350
2017-10-18,938346
2017-10-19,407866
2017-10-20,616294
2017-10-21,836850
2017-10-22,369097
2017-10-23,336116
2017-10-24,466696
2017-10-25,666207
2017-10-26,442510
2017-10-27,672849
2017-10-28,718822
2017-10-29,454975
2017-10-30,310592
2017-10-31,774595
2017-11-01,869079
2017-11-02,804173
2017-11-03,1403689
2017-11-04,320190
2017-11-05,485074
2017-11-06,427903
2017-11-07,416423
2017-11-08,680234
2017-11-09,343497
2017-11-10,398306
2017-11-11,263535
2017-11-12,994159
2017-11-13,223325
2017-11-14,471092
2017-11-15,734410
2017-11-16,485018
2017-11-17,449643
2017-11-18,269313
2017-11-19,460395
2017-11-20,386485
2017-11-21,117807
2017-11-22,611983
2017-11-23,603793
2017-11-24,644771
2017-11-25,292846
2017-11-26,280542
2017-11-27,322474
2017-11-28,489868
2017-11-29,873824
2017-11-30,886560
2017-12-01,759569
2017-12-02,351589
2017-12-03,889781
2017-12-04,299841
2017-12-05,99512
2017-12-06,368200
2017-12-07,359202
2017-12-08,535535
2017-12-09,845717
2017-12-10,391698
2017-12-11,114276
2017-12-12,406259
2017-12-13,424976
2017-12-14,357900
2017-12-15,230690
2017-12-16,300055
2017-12-17,126805
2017-12-18,702572
2017-12-19,401989
2017-12-20,473885
2017-12-21,377360
2017-12-22,846795
2017-12-23,380482
2017-12-24,295691
2017-12-25,676211
2017-12-26,305662
2017-12-27,132374
2017-12-28,508435
2017-12-29,486530
2017-12-30,614957
2017-12-31,940624
2018-01-01,456275
2018-01-02,968955
2018-01-03,803739
2018-01-04,955328
2018-01-05,566854
2018-01-06,755131
2018-01-07,512098
2018-01-08,505238
2018-01-09,277576
2018-01-10,692692
2018-01-11,587461
2018-01-12,1210158
2018-01-13,543716
2018-01-14,556948
2018-01-15,274123
2018-01-16,695740
2018-01-17,329065
2018-01-18,1057435
2018-01-19,418231
2018-01-20,988440
2018-01-21,320794
2018-01-22,389330
2018-01-23,515762
2018-01-24,514795
2018-01-25,328283
2018-01-26,433511
2018-01-27,294078
2018-01-28,655581
2018-01-29,71452
2018-01-31,93099
2018-02-01,379312
2018-02-02,573930
2018-02-03,250314
2018-02-04,454998
2018-02-05,800354
2018-02-06,426609
2018-02-07,716098
2018-02-08,429088
2018-02-09,389027
2018-02-10,777830
2018-02-11,359135
2018-02-12,248328
2018-02-13,181425
2018-02-14,348768
2018-02-15,398136
2018-02-16,305586
2018-02-17,614890
2018-02-18,991775
2018-02-19,330324
2018-02-20,851594
2018-02-21,618177
2018-02-22,945137
2018-02-23,719478
2018-02-24,635858
2018-02-25,106372
2018-02-27,506895
2018-02-28,714939
2018-03-01,332230
2018-03-02,762012
2018-03-03,358300
2018-03-04,86892
2018-03-05,518197
2018-03-06,576276
2018-03-07,370938
2018-03-08,251274
2018-03-09,366255
2018-03-10,735818
2018-03-11,445873
2018-03-12,350295
2018-03-13,639102
2018-03-14,621438
2018-03-15,339002
2018-03-16,264383
2018-03-17,436571
2018-03-18,388726
2018-03-19,134943
2018-03-20,204015
2018-03-21,491435
2018-03-22,642413
2018-03-23,429292
2018-03-24,70504
2018-03-25,462855
2018-03-26,319037
2018-03-27,146728
2018-03-28,752957
2018-03-29,327386
2018-03-30,75011
2018-03-31,227019
2018-04-01,465697
2018-04-02,573480
2018-04-03,943912
2018-04-04,501252
2018-04-05,259255
2018-04-06,400355
2018-04-07,508442
2018-04-08,511747
2018-04-09,364798
2018-04-10,449776
2018-04-11,708799
2018-04-12,626256
2018-04-13,587745
2018-04-14,398914
2018-04-15,739439
2018-04-16,178658
2018-04-17,624720
2018-04-18,775767
2018-04-19,788582
2018-04-20,848005
2018-04-21,974392
2018-04-22,672214
2018-04-23,385373
2018-04-24,350529
2018-04-25,827451
2018-04-26,231164
2018-04-27,785417
2018-04-28,677852
2018-04-29,289541
2018-04-30,835158
2018-05-01,494395
2018-05-02,535163
2018-05-03,607001
2018-05-04,788960
2018-05-05,260569
2018-05-07,810291
2018-05-08,425411
2018-05-09,773557
2018-05-10,801061
2018-05-11,427909
2018-05-12,332416
2018-05-13,377184
2018-05-14,667810
2018-05-15,518295
2018-05-16,513968
2018-05-17,723042
2018-05-18,772026
2018-05-19,316274
2018-05-20,755457
2018-05-21,709303
2018-05-22,107069
2018-05-23,1053420
2018-05-24,593152
2018-05-25,930625
2018-05-26,713558
2018-05-27,555040
2018-05-28,687570
2018-05-29,588042
2018-05-30,725661
2018-05-31,774131
2018-06-01,408865
2018-06-02,714730
2018-06-03,362877
2018-06-04,755823
2018-06-05,1081618
2018-06-06,990475
2018-06-07,1134954
2018-06-08,500219
2018-06-09,877435
2018-06-11,1055832
2018-06-12,932842
2018-06-13,1508644
2018-06-14,562614
2018-06-15,975119
2018-06-16,366450
2018-06-17,614455
2018-06-18,1054070
2018-06-19,690590
2018-06-20,906749
2018-06-21,1292326
2018-06-22,926468
2018-06-23,990812
2018-06-24,491084
2018-06-25,1321609
2018-06-26,786847
2018-06-27,1077817
2018-06-28,949471
2018-06-29,192476
2018-06-30,829215
2018-07-01,263887
2018-07-02,245729
2018-07-03,1215032
2018-07-04,440616
2018-07-05,498458
2018-07-06,577016
2018-07-07,413248
2018-07-08,649445
2018-07-09,536847
2018-07-10,923929
2018-07-11,669961
2018-07-12,529895
2018-07-13,213274
2018-07-14,765108
2018-07-15,429884
2018-07-16,813433
2018-07-17,397729
2018-07-18,1032228
2018-07-19,888624
2018-07-20,561158
2018-07-21,461329
2018-07-22,649103
2018-07-23,978023
2018-07-24,881968
2018-07-25,1033629
2018-07-26,780841
2018-07-27,1052432
2018-07-28,220912
2018-07-29,1053360
2018-07-30,607288
2018-07-31,1051292
2018-08-01,750395
2018-08-02,837558
2018-08-03,542557
2018-08-04,887567
2018-08-05,852707
2018-08-06,542791
2018-08-07,253759
2018-08-08,840421
2018-08-09,468391
2018-08-10,813277
2018-08-11,719048
2018-08-12,408609
2018-08-13,792108
2018-08-14,1078955
2018-08-15,835528
2018-08-16,1299042
2018-08-17,1158286
2018-08-18,1071621
2018-08-19,469264
2018-08-20,664383
2018-08-21,850853
2018-08-22,847609
2018-08-23,726014
2018-08-24,889599
2018-08-25,1001126
2018-08-26,446471
2018-08-27,754502
2018-08-28,658535
2018-08-29,1693439
2018-08-30,1224894
2018-08-31,327025
2018-09-01,1130713
2018-09-02,512916
2018-09-03,721187
2018-09-04,685885
2018-09-05,1082396
2018-09-06,694934
2018-09-07,700439
2018-09-08,360495
2018-09-09,1046708
2018-09-10,1086446
2018-09-11,620413
2018-09-12,748360
2018-09-13,629578
2018-09-14,391148
2018-09-15,802312
2018-09-16,439409
2018-09-17,708509
2018-09-18,702673
2018-09-19,651047
2018-09-20,795432
2018-09-21,870762
2018-09-22,392499
2018-09-23,250616
2018-09-24,337184
2018-09-25,866829
2018-09-26,671381
2018-09-27,281610
2018-09-29,344575
2018-09-30,702527
2018-10-01,332813
2018-10-02,711120
2018-10-03,848834
2018-10-04,922971
2018-10-05,592851
2018-10-06,672121
2018-10-07,394773
2018-10-08,405224
2018-10-09,544881
2018-10-10,436874
2018-10-11,380880
2018-10-12,659057
2018-10-13,609999
2018-10-14,582971
2018-10-15,502221
2018-10-16,1196405
2018-10-17,1249613
2018-10-18,844055
2018-10-19,729171
2018-10-20,701404
2018-10-21,632122
2018-10-22,924708
2018-10-23,871770
2018-10-24,581283
2018-10-25,1069115
2018-10-26,886920
2018-10-27,744254
2018-10-28,342592
2018-10-29,901137
2018-10-30,1018776
2018-10-31,997951
2018-11-01,533190
2018-11-02,665696
2018-11-03,1061797
2018-11-04,492702
2018-11-05,923644
2018-11-06,673896
2018-11-07,1404026
2018-11-08,192674
2018-11-09,1196875
2018-11-10,798403
2018-11-11,338741
2018-11-12,732490
2018-11-13,1165047
2018-11-14,349132
2018-11-15,720393
2018-11-16,190654
2018-11-17,734758
2018-11-18,559856
2018-11-19,469413
2018-11-20,79426
2018-11-21,992601
2018-11-22,974099
2018-11-23,324134
2018-11-24,270274
2018-11-25,695832
2018-11-26,817407
2018-11-27,513250
2018-11-28,683108
2018-11-29,841179
2018-11-30,835669
2018-12-01,566389
2018-12-02,65765
2018-12-03,966149
2018-12-04,717962
2018-12-05,634901
2018-12-06,359119
2018-12-07,1611559
2018-12-08,1004366
2018-12-09,342717
2018-12-10,254277
2018-12-11,1011309
2018-12-12,378991
2018-12-13,843915
2018-12-14,412629
2018-12-15,722552
2018-12-16,802318
2018-12-17,443516
2018-12-18,585138
2018-12-19,927199
2018-12-20,1168449
2018-12-21,1597423
2018-12-22,903050
2018-12-23,979914
2018-12-24,1732670
2018-12-25,666015
2018-12-26,200606
2018-12-27,1155004
2018-12-28,568052
2018-12-29,790759
2018-12-30,682905
2018-12-31,1093783
2019-01-01,1900899
2019-01-02,378337
2019-01-03,952254
2019-01-04,824992
2019-01-05,1090452
2019-01-06,1173739
2019-01-07,684184
2019-01-08,561057
2019-01-09,940247
2019-01-10,1121102
2019-01-11,1236372
2019-01-12,1251011
