Date,Pos_Count
2018-11-14,93
2018-11-15,74
2018-11-16,76
2018-11-17,39
2018-11-18,47
2018-11-19,38
2018-11-20,68
2018-11-21,68
2018-11-22,29
2018-11-23,30
2018-11-24,42
2018-11-25,25
2018-11-26,126
2018-11-27,148
2018-11-28,52
2018-11-29,56
2018-11-30,76
2018-12-01,142
2018-12-02,23
2018-12-03,64
2018-12-04,93
2018-12-05,64
2018-12-06,110
2018-12-07,78
2018-12-08,34
2018-12-09,21
2018-12-10,52
2018-12-11,98
2018-12-12,63
2018-12-13,96
2018-12-14,77
2018-12-15,34
2018-12-16,13
2018-12-17,76
2018-12-18,74
2018-12-19,70
2018-12-20,111
2018-12-21,67
2018-12-22,48
2018-12-23,29
2018-12-24,89
2018-12-25,26
2018-12-26,52
2018-12-27,76
2018-12-28,72
2018-12-29,42
2018-12-30,39
2018-12-31,53
2019-01-01,23
2019-01-02,294
2019-01-03,89
2019-01-04,82
2019-01-05,23
2019-01-06,45
2019-01-07,29
2019-01-08,106
2019-01-09,88
2019-01-10,85
2019-01-11,49
2019-01-12,35
2019-01-13,52
2019-01-14,46
2019-01-15,66
2019-01-16,88
2019-01-17,85
2019-01-18,211
2019-01-19,154
2019-01-20,35
2019-01-21,37
2019-01-22,87
2019-01-23,101
2019-01-24,133
2019-01-25,76
2019-01-26,37
2019-01-27,168
2019-01-28,57
2019-01-29,64
2019-01-30,92
2019-01-31,120
2019-02-01,127
2019-02-02,40
2019-02-03,46
2019-02-04,99
2019-02-05,143
2019-02-06,163
2019-02-07,155
2019-02-08,111
2019-02-09,110
2019-02-10,52
2019-02-11,158
2019-02-12,113
2019-02-13,116
2019-02-14,99
2019-02-15,119
2019-02-16,11
2019-02-17,25
2019-02-18,53
2019-02-19,124
2019-02-20,131
2019-02-21,66
2019-02-22,101
2019-02-23,123
2019-02-24,20
2019-02-25,74
2019-02-26,68
2019-02-27,92
2019-02-28,59
2019-03-01,49
2019-03-02,105
2019-03-03,9
2019-03-04,127
2019-03-05,75
2019-03-06,65
2019-03-07,61
2019-03-08,86
2019-03-09,136
2019-03-10,105
2019-03-11,48
2019-03-12,82
2019-03-13,70
2019-03-14,62
2019-03-15,76
2019-03-16,126
2019-03-17,60
2019-03-18,95
2019-03-19,133
2019-03-20,39
2019-03-21,113
2019-03-22,88
2019-03-23,285
2019-03-24,90
2019-03-25,72
2019-03-26,64
2019-03-27,72
2019-03-28,43
2019-03-29,67
2019-03-30,155
2019-03-31,31
2019-04-01,135
2019-04-02,56
2019-04-03,94
2019-04-04,71
2019-04-05,45
2019-04-06,137
2019-04-07,99
