date,Sent_Count,favorites,Count,sentcount1day,favcount1day,econcount1day,job_change1day,growthgap1day,change1day
2019-06-07,0,1028820,1,-1.0,1267241.0,1.0,219.0,-0.2,-0.0026878791180851014
2019-06-10,2,752543,1,0.0,1028820.0,1.0,63.0,-0.2,0.0060154583289615295
2019-06-20,5,552969,2,2.0,752543.0,1.0,63.0,-0.2,-0.0013823133013096632
2019-06-24,6,563084,1,5.0,552969.0,2.0,63.0,-0.2,-0.0006080259424402338
2019-06-25,14,659232,1,6.0,563084.0,1.0,63.0,-0.2,-0.0020052340006118745
2019-06-26,4,1492496,3,14.0,659232.0,1.0,63.0,-0.2,-0.01001021450459652
2019-07-01,3,1317964,1,4.0,1492496.0,3.0,63.0,-0.2,-0.004387317909168715
2019-07-03,2,1810588,1,3.0,1317964.0,1.0,63.0,-0.2,-0.00343804772819193
2019-07-10,13,1279976,1,2.0,1810588.0,1.0,63.0,-0.2,0.005451241671714128
2019-07-11,23,1657002,1,13.0,1279976.0,1.0,175.0,-0.2,0.0008043704125750212
2019-07-12,-2,1146969,3,23.0,1657002.0,1.0,175.0,-0.2,-3.340906053718731e-05
2019-07-15,-4,2348843,1,-2.0,1146969.0,3.0,175.0,-0.2,0.002668000667000015
2019-07-17,4,1614409,1,-4.0,2348843.0,1.0,175.0,-0.2,-0.001261913459303276
2019-07-19,27,1712780,2,4.0,1614409.0,1.0,175.0,-0.2,-0.006705587989991629
2019-07-22,-16,1616309,1,27.0,1712780.0,2.0,175.0,-0.2,-0.009565391281162529
2019-07-23,-2,1539406,1,-16.0,1616309.0,1.0,175.0,-0.2,0.0009744296226604066
2019-07-25,-5,1869345,1,-2.0,1539406.0,1.0,175.0,-0.2,0.002975195560607028
2019-07-26,-5,1187667,1,-5.0,1869345.0,1.0,175.0,-0.2,-0.0031235462218382327
2019-07-29,-7,1523329,1,-5.0,1187667.0,1.0,175.0,-0.6,0.004156137784279825
2019-07-30,-5,1670728,3,-7.0,1523329.0,1.0,175.0,-0.6,-0.0013912813038293886
2019-08-05,-4,872292,1,-5.0,1670728.0,3.0,175.0,-0.6,0.002700810243072929
2019-08-06,2,1044782,1,-4.0,872292.0,1.0,193.0,-0.6,-0.014821757089798266
2019-08-07,-7,1544643,2,2.0,1044782.0,1.0,193.0,-0.6,0.0066104718267985954
2019-08-13,1,1082547,1,-7.0,1544643.0,2.0,193.0,-0.6,0.012552742616033931
2019-08-14,1,1099236,2,1.0,1082547.0,1.0,193.0,-0.6,0.016716480155696118
2019-08-16,13,1275699,2,1.0,1099236.0,2.0,193.0,-0.6,-0.014475648279932016
2019-08-19,-5,939052,1,13.0,1275699.0,2.0,193.0,-0.6,0.008272828818765723
2019-08-20,6,1327078,2,-5.0,939052.0,1.0,193.0,-0.6,0.0004791402854306662
2019-08-21,7,1233104,2,6.0,1327078.0,2.0,193.0,-0.6,-0.005757960037015481
2019-08-23,9,1351913,1,7.0,1233104.0,2.0,193.0,-0.6,-0.00010257111597384284
2019-08-27,8,1142610,1,9.0,1351913.0,1.0,193.0,-0.6,-0.02086484256840366
2019-08-28,2,1176890,1,8.0,1142610.0,1.0,193.0,-0.6,-0.009221523796366704
2019-08-29,-3,869343,1,2.0,1176890.0,1.0,193.0,-0.6,0.00961068008667086
2019-08-30,-11,985365,2,-3.0,869343.0,1.0,193.0,-0.5,0.0029480323597969173
2019-09-03,-4,685699,1,-11.0,985365.0,2.0,193.0,-0.5,-0.006015906464550467
2019-09-06,4,1163263,1,-4.0,685699.0,1.0,193.0,-0.5,0.000585056957015576
2019-09-09,1,1412409,1,4.0,1163263.0,1.0,195.0,-0.5,-0.000402454975349648
2019-09-10,2,632794,2,1.0,1412409.0,1.0,195.0,-0.5,-0.0031423413786187
2019-09-12,4,865484,3,2.0,632794.0,2.0,195.0,-0.5,0.00258945386064024
2019-09-13,0,637695,1,4.0,865484.0,3.0,195.0,-0.5,0.0001327800829876198
2019-09-16,2,1386048,2,0.0,637695.0,1.0,195.0,-0.5,-0.002286433825965928
2019-09-18,5,950009,2,2.0,1386048.0,2.0,195.0,-0.5,0.0010672358591250334
2019-09-20,9,572634,1,5.0,950009.0,2.0,195.0,-0.5,0.0020300176378582105
2019-09-26,-5,1194995,1,9.0,572634.0,1.0,195.0,-0.5,-0.006925023305367029
2019-09-30,8,2227003,1,-5.0,1194995.0,1.0,195.0,-0.5,-0.0021167221046265346
2019-10-01,-3,1434694,1,8.0,2227003.0,1.0,195.0,-0.5,0.002702976653039005
