day,favorites
2018-06-22,1657
2018-06-23,635
2018-06-24,1526
2018-06-25,2466
2018-06-26,1486
2018-06-27,3309
2018-06-28,1693
2018-06-29,1611
2018-06-30,427
2018-07-01,614
2018-07-02,1903
2018-07-03,1807
2018-07-04,796
2018-07-05,1859
2018-07-06,2964
2018-07-07,877
2018-07-08,1384
2018-07-09,2090
2018-07-10,1253
2018-07-11,1988
2018-07-12,2086
2018-07-13,1450
2018-07-14,306
2018-07-15,956
2018-07-16,1635
2018-07-17,3591
2018-07-18,1540
2018-07-19,1657
2018-07-20,2773
2018-07-21,639
2018-07-22,1133
2018-07-23,2026
2018-07-24,1741
2018-07-25,4459
2018-07-26,4651
2018-07-27,3930
2018-07-28,1187
2018-07-29,1065
2018-07-30,2887
2018-07-31,3106
2018-08-01,2329
2018-08-02,2149
2018-08-03,1333
2018-08-04,1591
2018-08-05,334
2018-08-06,1808
2018-08-07,3195
2018-08-08,4139
2018-08-09,3885
2018-08-10,1094
2018-08-11,335
2018-08-13,1408
2018-08-14,2926
2018-08-15,2637
2018-08-16,2653
2018-08-17,1889
2018-08-18,1183
2018-08-19,623
2018-08-20,1248
2018-08-21,1051
2018-08-22,1434
2018-08-23,1560
2018-08-24,1654
2018-08-25,770
2018-08-26,4582
2018-08-27,1947
2018-08-28,5621
2018-08-29,1602
2018-08-30,2578
2018-08-31,1730
2018-09-01,438
2018-09-02,2927
2018-09-03,1101
2018-09-04,1732
2018-09-05,4649
2018-09-06,6823
2018-09-07,1626
2018-09-08,519
2018-09-09,811
2018-09-10,1739
2018-09-11,1914
2018-09-12,2684
2018-09-13,1299
2018-09-14,3249
2018-09-15,1176
2018-09-16,457
2018-09-17,1530
2018-09-18,2223
2018-09-19,2163
2018-09-20,3034
2018-09-21,4905
2018-09-22,917
2018-09-23,1485
2018-09-24,2211
2018-09-25,1967
2018-09-26,2984
2018-09-27,5061
2018-09-28,1751
2018-09-29,830
2018-09-30,1086
2018-10-01,145
2018-10-02,153
2018-10-03,138
2018-10-04,128
2018-10-05,134
2018-10-06,35
2018-10-07,35
2018-10-08,100
2018-10-09,119
2018-10-10,176
2018-10-11,175
2018-10-12,116
2018-10-13,52
2018-10-14,54
2018-10-15,95
2018-10-16,107
2018-10-17,92
2018-10-18,81
2018-10-19,87
2018-10-20,51
2018-10-21,39
2018-10-22,85
2018-10-23,118
2018-10-24,190
2018-10-25,154
2018-10-26,101
2018-10-27,44
2018-10-28,34
2018-10-29,163
2018-10-30,105
2018-10-31,97
2018-11-01,91
2018-11-02,70
2018-11-03,32
2018-11-04,33
2018-11-05,55
2018-11-06,71
2018-11-07,97
2018-11-08,89
2018-11-09,80
2018-11-10,39
2018-11-11,38
2018-11-12,88
2018-11-13,91
2018-11-14,80
2018-11-15,96
2018-11-16,100
2018-11-17,35
2018-11-18,27
2018-11-19,84
2018-11-20,97
2018-11-21,66
2018-11-22,38
2018-11-23,54
2018-11-24,36
2018-11-25,32
2018-11-26,55
2018-11-27,49
2018-11-28,80
2018-11-29,54
2018-11-30,58
2018-12-01,39
2018-12-02,66
2018-12-03,84
2018-12-04,73
2018-12-05,79
2018-12-06,91
2018-12-07,82
2018-12-08,51
2018-12-09,19
2018-12-10,57
2018-12-11,81
2018-12-12,84
2018-12-13,78
2018-12-14,65
2018-12-15,31
2018-12-16,19
2018-12-17,56
2018-12-18,60
2018-12-19,80
2018-12-20,86
2018-12-21,83
2018-12-22,57
2018-12-23,35
2018-12-24,84
2018-12-25,46
2018-12-26,81
2018-12-27,82
2018-12-28,73
2018-12-29,41
2018-12-30,34
2018-12-31,53
2019-01-01,40
2019-01-02,80
2019-01-03,97
2019-01-04,92
2019-01-05,40
2019-01-06,28
2019-01-07,38
2019-01-08,65
2019-01-09,70
2019-01-10,72
2019-01-11,58
2019-01-12,31
2019-01-13,51
2019-01-14,47
2019-01-15,76
2019-01-16,72
2019-01-17,93
