Date,Neg_Count,Pos_Count,favorites,Count,growthgap,job_change,negcount1day,poscount1day,favcount1day,econcount1day,change1day
2016-12-28,10,15,730,5,-1.3,130.0,23.0,27.0,181.0,8.0,0.0011060968055924254
2016-12-29,26,21,1063,4,-1.3,130.0,10.0,15.0,730.0,5.0,-0.00957761398243363
2016-12-30,15,25,477,5,-1.3,130.0,26.0,21.0,1063.0,4.0,-0.0005791161796150902
2017-01-03,10,12,345,2,-1.3,130.0,15.0,25.0,477.0,5.0,-0.005339741022560357
2017-01-04,31,35,1465,3,-1.3,130.0,10.0,12.0,345.0,2.0,0.0008887308922858918
2017-01-05,28,31,1268,10,-1.3,130.0,31.0,35.0,1465.0,3.0,0.0042549419377715106
2017-01-06,71,102,720,26,-1.3,214.0,28.0,31.0,1268.0,10.0,0.0005745348477482452
2017-01-09,104,120,551,45,-1.3,214.0,71.0,102.0,720.0,26.0,0.003001809914801601
2017-01-10,47,50,696,25,-1.3,214.0,104.0,120.0,551.0,45.0,-0.001983165131549904
2017-01-11,87,93,3245,20,-1.3,214.0,47.0,50.0,696.0,25.0,-8.83080183679875e-05
2017-01-12,48,76,2252,22,-1.3,214.0,87.0,93.0,3245.0,20.0,0.0032691288213464423
2017-01-13,134,124,671,52,-1.3,214.0,48.0,76.0,2252.0,22.0,0.00013245033112583283
2017-01-17,101,90,1018,36,-1.3,214.0,134.0,124.0,671.0,52.0,0.0014113703524016301
2017-01-18,44,54,430,18,-1.3,214.0,101.0,90.0,1018.0,36.0,-0.0002651230612876244
2017-01-19,121,126,1976,43,-1.3,214.0,44.0,54.0,430.0,18.0,0.0009269886112828107
2017-01-23,21,34,796,7,-1.3,214.0,121.0,126.0,1976.0,43.0,-0.00409980603068245
2017-01-24,24,31,406,6,-1.3,214.0,21.0,34.0,796.0,7.0,-0.002602099320807989
2017-01-25,60,65,1669,3,-1.3,214.0,24.0,31.0,406.0,6.0,0.005300353356890409
2017-01-26,58,71,13436,14,-1.3,214.0,60.0,65.0,1669.0,3.0,0.0038041101880192593
2017-01-27,234,250,11001,76,0.6,214.0,58.0,71.0,13436.0,14.0,-0.0003051438535309205
2017-01-30,42,51,1350,16,0.6,214.0,234.0,250.0,11001.0,76.0,-0.0019614680498648267
2017-01-31,78,78,43414,9,0.6,214.0,42.0,51.0,1350.0,16.0,-0.0027172722093175092
2017-02-01,47,55,3016,12,0.6,214.0,78.0,78.0,43414.0,9.0,0.002423120979822061
2017-02-02,64,59,989,14,0.6,214.0,47.0,55.0,3016.0,12.0,0.00039555223487014197
2017-02-03,39,49,1664,13,0.6,197.0,64.0,59.0,989.0,14.0,0.0006589930586064745
2017-02-06,35,41,1747,10,0.6,197.0,39.0,49.0,1664.0,13.0,0.0022725286251202266
2017-02-07,52,104,3696,11,0.6,197.0,35.0,41.0,1747.0,10.0,0.0002621575566915816
2017-02-08,81,151,1403,23,0.6,197.0,52.0,104.0,3696.0,11.0,-0.0019182143168541184
2017-02-09,69,62,885,7,0.6,197.0,81.0,151.0,1403.0,23.0,0.001310387000961
2017-02-10,46,78,1272,15,0.6,197.0,69.0,62.0,885.0,7.0,0.005932647007502989
2017-02-13,97,87,768,32,0.6,197.0,46.0,78.0,1272.0,15.0,0.0022077922077921685
2017-02-14,40,54,675,11,0.6,197.0,97.0,87.0,768.0,32.0,0.0029731127197518
2017-02-15,75,74,2361,29,0.6,197.0,40.0,54.0,675.0,11.0,0.004901960784313666
2017-02-16,58,66,902,5,0.6,197.0,75.0,74.0,2361.0,29.0,0.006296851574212889
2017-02-17,57,65,990,4,0.6,197.0,58.0,66.0,902.0,5.0,-0.0009789316875930614
2017-02-21,94,136,5923,41,0.6,197.0,57.0,65.0,990.0,4.0,0.004872836076084697
2017-02-22,63,77,1096,16,0.6,197.0,94.0,136.0,5923.0,41.0,0.004118546195652169
2017-02-23,96,112,1376,23,0.6,197.0,63.0,77.0,1096.0,16.0,0.0011016015591898607
2017-02-24,63,92,1029,24,0.6,197.0,96.0,112.0,1376.0,23.0,-0.0018574805808848265
2017-02-27,45,64,2049,14,0.6,197.0,63.0,92.0,1029.0,24.0,0.005436167501911157
2017-02-28,66,81,2852,19,0.6,197.0,45.0,64.0,2049.0,14.0,0.001986139283299642
2017-03-01,89,95,1474,47,0.6,197.0,66.0,81.0,2852.0,19.0,-0.0008450585203024829
2017-03-02,91,130,1638,29,0.6,197.0,89.0,95.0,1474.0,47.0,0.005830781492512332
2017-03-03,90,117,1746,21,0.6,197.0,91.0,130.0,1638.0,29.0,-0.005384872265820639
2017-03-06,25,29,746,5,0.6,197.0,90.0,117.0,1746.0,21.0,0.0010496704034933034
2017-03-07,127,127,1092,25,0.6,197.0,25.0,29.0,746.0,5.0,0.000884210526315823
2017-03-08,68,61,905,10,0.6,197.0,127.0,127.0,1092.0,25.0,-0.0015166835187058207
