date,Neg_Count,Pos_Count,favorites,Count
2018-06-01,85,102,1587,9
2018-06-04,66,72,2294,11
2018-06-05,45,70,1038,6
2018-06-06,84,106,3963,7
2018-06-07,67,110,2195,6
2018-06-08,84,88,19939,10
2018-06-11,78,117,2079,7
2018-06-12,65,85,1753,7
2018-06-13,107,112,3778,12
2018-06-14,114,156,2481,15
2018-06-15,108,163,3080,15
2018-06-18,83,90,4243,13
2018-06-19,136,148,3380,18
2018-06-20,117,175,3453,18
2018-06-21,109,112,2974,19
2018-06-22,120,101,1657,9
2018-06-25,125,106,2466,14
2018-06-26,82,87,1486,12
2018-06-27,93,105,3309,12
2018-06-28,134,175,1693,16
2018-06-29,64,58,1611,4
2018-07-02,76,101,1903,9
2018-07-03,53,47,1807,6
2018-07-05,61,135,1859,5
2018-07-06,41,41,2964,8
2018-07-09,79,80,2090,11
2018-07-10,117,165,1253,24
2018-07-11,84,130,1988,14
2018-07-12,67,86,2086,6
2018-07-13,104,127,1450,8
2018-07-16,74,54,1635,2
2018-07-17,95,156,3591,14
2018-07-18,85,92,1540,3
2018-07-19,84,133,1657,11
2018-07-20,102,149,2773,19
2018-07-23,86,106,2026,10
2018-07-24,87,96,1741,9
2018-07-25,96,187,4459,13
2018-07-26,182,190,4651,19
2018-07-27,127,120,3930,13
2018-07-30,122,142,2887,26
2018-07-31,75,100,3106,7
2018-08-01,68,94,2329,11
2018-08-02,127,123,2149,16
2018-08-03,81,122,1333,10
2018-08-06,53,82,1808,11
2018-08-07,163,212,3195,18
2018-08-08,194,232,4139,24
2018-08-09,69,87,3885,14
2018-08-10,96,139,1094,21
2018-08-13,81,87,1408,8
2018-08-14,95,102,2926,18
2018-08-15,140,168,2637,17
2018-08-16,106,119,2653,13
2018-08-17,115,130,1889,24
2018-08-20,101,151,1248,16
2018-08-21,64,83,1051,4
2018-08-22,76,114,1434,14
2018-08-23,62,103,1560,11
2018-08-24,71,114,1654,4
2018-08-27,66,141,1947,9
2018-08-28,58,116,5621,8
2018-08-29,64,107,1602,7
2018-08-30,127,160,2578,16
2018-08-31,71,94,1730,11
2018-09-04,65,75,1732,4
2018-09-05,84,116,4649,16
2018-09-06,137,133,6823,24
2018-09-07,82,113,1626,20
2018-09-10,107,107,1739,11
2018-09-11,54,92,1914,12
2018-09-12,189,244,2684,25
2018-09-13,163,179,1299,14
2018-09-14,75,104,3249,10
2018-09-17,108,108,1530,14
2018-09-18,112,169,2223,10
2018-09-19,96,149,2163,5
2018-09-20,126,208,3034,22
2018-09-21,190,222,4905,26
2018-09-24,119,107,2211,9
2018-09-25,102,117,1967,16
2018-09-26,118,139,2984,11
2018-09-27,178,220,5061,26
2018-09-28,170,142,1751,19
2018-10-01,95,124,145,8
2018-10-02,87,97,153,13
2018-10-03,125,189,138,21
2018-10-04,111,145,128,15
2018-10-05,202,186,134,13
2018-10-08,79,132,100,21
2018-10-09,66,85,119,10
2018-10-10,167,151,176,8
2018-10-11,332,315,175,33
2018-10-12,63,80,116,7
2018-10-15,137,193,95,26
2018-10-16,115,155,107,13
2018-10-17,147,176,92,21
2018-10-18,98,104,81,9
2018-10-19,88,94,87,13
